path,filename,extension,sizeBytes,sha256,detectedType,compressedSize,archiveCompressionMethod,notes
assets/aa/Android/031851ae60b58e28f77bcb80c2953b39.bundle,031851ae60b58e28f77bcb80c2953b39.bundle,bundle,1168471,9a447bca298df43dead0f2df2ac5f655af0eb866c859ec8642be19e54eb14108,UnityFS,1168471,stored,
assets/aa/Android/03297c1e5ea8b7ef6168b8a9fb58a5f4.bundle,03297c1e5ea8b7ef6168b8a9fb58a5f4.bundle,bundle,400379,dcfe993c866fac441b86dfb810496fe5fdf98300253937ae72aae115c69bcb16,UnityFS,400379,stored,
assets/aa/Android/0346140741c62ef259fa0026be1c37d1.bundle,0346140741c62ef259fa0026be1c37d1.bundle,bundle,102438,790126bb469e8611947a58ee30ab7677894ccb3add6e37dee5cb9d5575f5cc6d,UnityFS,102438,stored,
assets/aa/Android/0351e4b1b0de8d0ce1d09f00ec743769.bundle,0351e4b1b0de8d0ce1d09f00ec743769.bundle,bundle,2444718,9ce7741b702bad53201f4175b4835bbd1195ce3936bcc47b2986e776e2a8dce7,UnityFS,2444718,stored,
assets/aa/Android/036407b89ca165baa3f99d775ef8cebd.bundle,036407b89ca165baa3f99d775ef8cebd.bundle,bundle,139483,5c8bbb63e3b4885339af4b102b3ba0e4281994785fdae9e54c09f614b7cf0873,UnityFS,139483,stored,
assets/aa/Android/037e66c15d58b0f1303ab932d30f8aab.bundle,037e66c15d58b0f1303ab932d30f8aab.bundle,bundle,247927,f80232badd74a06e84e8f4fcc71bf5c9cd2f9c164f8e50648e97c915b00cdb00,UnityFS,247927,stored,
assets/aa/Android/038deca51c5f4052eeacd183ce40ced3.bundle,038deca51c5f4052eeacd183ce40ced3.bundle,bundle,1588480,80845d05e35d6a7c679369ad18f0ad3d6173d1c37dc42d4030288d085bca9eea,UnityFS,1588480,stored,
assets/aa/Android/039d2de8024840751fbf00cb47bc8193.bundle,039d2de8024840751fbf00cb47bc8193.bundle,bundle,3162725,9cdedaa6c6038497ec54a5ce205657665378d148eac8ae4534b1fe0749eadbf8,UnityFS,3162725,stored,
assets/aa/Android/039d88335e36051d276d0cb5fe10db7f.bundle,039d88335e36051d276d0cb5fe10db7f.bundle,bundle,175448,ba871ebcbc8301f77ec902f78c620087d152e61a136102c89118e62cb2473cf5,UnityFS,175448,stored,
assets/aa/Android/0430cc7ba23c2714022a3048f5151aec.bundle,0430cc7ba23c2714022a3048f5151aec.bundle,bundle,298747,c58bc415f51d9e63471405f023f00aa53db09e0bbcf8764066a16c01c6d271b7,UnityFS,298747,stored,
