path,fileCount,totalSizeBytes,totalCompressedSizeBytes
assets/songs/dl_alicealamode,3,861198,861198
assets/songs/dl_alicessuitcase,3,817735,817735
assets/songs/dl_aloneandlorn,3,878635,878635
assets/songs/dl_altair,3,686601,686601
assets/songs/dl_altale,3,647481,647481
assets/songs/dl_alterale,3,856528,856528
assets/songs/dl_alterego,3,1081666,1081666
assets/songs/dl_altergate,3,1015944,1015944
assets/songs/dl_altersist,3,874669,874669
assets/songs/dl_amazingmightyyyy,3,600425,600425
assets/songs/dl_amekagura,3,834060,834060
assets/songs/dl_amygdata,3,875448,875448
assets/songs/dl_andorxor,3,969630,969630
assets/songs/dl_andrevivemelody,3,762259,762259
assets/songs/dl_angelsboundary,3,1026349,1026349
assets/songs/dl_anokumene,3,639167,639167
assets/songs/dl_antagonism,3,754410,754410
assets/songs/dl_antithese,5,1011980,1011980
assets/songs/dl_aprilshowers,3,598201,598201
assets/songs/dl_arcanaeden,4,1167426,1167426
assets/songs/dl_arghena,3,1019970,1019970
assets/songs/dl_ascent,3,809378,809378
assets/songs/dl_asgore,3,609539,609539
assets/songs/dl_ashenboundary,3,933632,933632
assets/songs/dl_astralexe,3,785118,785118
assets/songs/dl_astralquant,3,1126396,1126396
assets/songs/dl_astraltale,3,802132,802132
assets/songs/dl_astrawalkthrough,3,864048,864048
assets/songs/dl_aterlbus,3,722930,722930
assets/songs/dl_attraqtia,3,1006110,1006110
assets/songs/dl_aurgelmir,3,898175,898175
assets/songs/dl_auxesia,3,790243,790243
assets/songs/dl_avantraze,3,867461,867461
assets/songs/dl_avril,7,1265535,1265535
assets/songs/dl_awakening,3,1052418,1052418
assets/songs/dl_awakeninruins,3,712924,712924
assets/songs/dl_axiumcrisis,7,5743492,5743492
assets/songs/dl_azalea,3,860518,860518
assets/songs/dl_babaroque,3,669748,669748
assets/songs/dl_backtobasics,3,1052253,1052253
assets/songs/dl_badtek,3,906922,906922
assets/songs/dl_bassline,3,844772,844772
assets/songs/dl_battlenoone,3,816178,816178
assets/songs/dl_bbkkbkk,3,561565,561565
assets/songs/dl_beautifuldreamer,3,1066278,1066278
assets/songs/dl_besideyou,3,816272,816272
assets/songs/dl_bethere,5,1204787,1204787
assets/songs/dl_blacklotus,3,775258,775258
assets/songs/dl_blackmind,3,594159,594159
assets/songs/dl_blackmirror,3,949173,949173
assets/songs/dl_blackterritory,3,833503,833503
assets/songs/dl_blaster,3,876223,876223
assets/songs/dl_blazingair,3,1222462,1222462
assets/songs/dl_blockedlibrary,3,924298,924298
assets/songs/dl_blossoms,3,786404,786404
assets/songs/dl_blrink,3,896240,896240
assets/songs/dl_bluecomet,3,834514,834514
assets/songs/dl_bluerose,3,846316,846316
assets/songs/dl_blythe,3,672576,672576
assets/songs/dl_bookmaker,5,1187704,1187704
assets/songs/dl_breachoffaith,3,903642,903642
assets/songs/dl_breakbreak,3,942285,942285
assets/songs/dl_buchigireberserker,3,700700,700700
assets/songs/dl_bulletwaiting,3,647342,647342
assets/songs/dl_callimakarma,3,804430,804430
assets/songs/dl_callmyname,3,573904,573904
assets/songs/dl_capella,3,794363,794363
assets/songs/dl_carminescythe,3,829413,829413
assets/songs/dl_chaintonite,3,848416,848416
assets/songs/dl_chaos,3,744097,744097
assets/songs/dl_chaosblast,3,913766,913766
assets/songs/dl_chelsea,3,800927,800927
assets/songs/dl_chromafill,3,833934,833934
assets/songs/dl_chronicle,3,858011,858011
assets/songs/dl_chronologia,3,910704,910704
assets/songs/dl_climax,3,1079587,1079587
assets/songs/dl_coastalhighway,3,790551,790551
assets/songs/dl_cocorocosmetic,3,931259,931259
assets/songs/dl_codeoblivion,3,1002493,1002493
assets/songs/dl_conflict,3,1049033,1049033
assets/songs/dl_corpssansorganes,3,898315,898315
assets/songs/dl_corruption,3,854581,854581
assets/songs/dl_cosmica,3,735847,735847
assets/songs/dl_cosmogyral,3,1062271,1062271
assets/songs/dl_cosmopop,3,877981,877981
assets/songs/dl_crimsonquartz,3,820494,820494
assets/songs/dl_crimsonthrone,3,821418,821418
assets/songs/dl_crossover,3,783254,783254
assets/songs/dl_crosssoul,3,535117,535117
assets/songs/dl_cryogenic,3,1059544,1059544
assets/songs/dl_crystalgravity,3,820485,820485
assets/songs/dl_csqn,3,539629,539629
assets/songs/dl_cyaegha,3,850501,850501
assets/songs/dl_cyanine,3,945326,945326
assets/songs/dl_cyberneciacatharsis,5,1365696,1365696
assets/songs/dl_cycles,3,524704,524704
assets/songs/dl_daat,3,1195096,1195096
assets/songs/dl_dantalion,3,814020,814020
assets/songs/dl_darakunosono,3,897833,897833
assets/songs/dl_dataerror,3,914456,914456
assets/songs/dl_dazzlehop,3,750520,750520
assets/songs/dl_ddd,3,652301,652301
assets/songs/dl_deathbyglamour,3,596809,596809
assets/songs/dl_defection,3,818784,818784
assets/songs/dl_desertrealm,3,925063,925063
assets/songs/dl_designant,3,1081103,1081103
assets/songs/dl_desive,3,998711,998711
assets/songs/dl_devillicsphere,3,649752,649752
assets/songs/dl_diesirae,3,1117399,1117399
assets/songs/dl_diode,3,873115,873115
assets/songs/dl_disintegration,3,1002712,1002712
assets/songs/dl_distortedfate,3,814920,814920
assets/songs/dl_distortionhuman,3,830413,830413
assets/songs/dl_divinelight,3,739249,739249
assets/songs/dl_dontdie,3,726203,726203
assets/songs/dl_dontfightmusic,3,654277,654277
assets/songs/dl_dottodot,3,607589,607589
assets/songs/dl_dreadnought,3,600503,600503
assets/songs/dl_dreamgoeson,3,734553,734553
assets/songs/dl_dreaminattraction,3,605824,605824
assets/songs/dl_drg,3,656102,656102
assets/songs/dl_dropdead,7,5764370,5764370
assets/songs/dl_dualdependency,3,940578,940578
assets/songs/dl_dualdoom,3,995952,995952
assets/songs/dl_dullblade,3,708589,708589
assets/songs/dl_dxfullmetal,3,1023852,1023852
assets/songs/dl_dynitikos,3,800131,800131
assets/songs/dl_eccentrictale,5,1132928,1132928
assets/songs/dl_edenwacca,3,693577,693577
assets/songs/dl_egoeimi,3,667953,667953
assets/songs/dl_eightem,3,975630,975630
