chapterOrder,chapterCode,banner,songOrder,songsId,songsKey,songsName,composer,category,unlockType,secretType,levels,difficulty,illustrator,charter
1,Single,Single,83,Luminescent.Daison.0,Luminescent,Luminescent,Daison,extraSongs,1,0,EZ|HD|IN|AT,5.5|10.5|14.4|0.0,鲸弑,Uvernight|Uvernight|百九十八|
1,Single,Single,84,FutureMind.RayNauticaRekuMochizuki.0,Future Mind,Future Mind,Ray Nautica & Reku Mochizuki,extraSongs,1,0,EZ|HD|IN|AT,4.5|11.0|14.2|0.0,Keiby.comics,Barbarianerman|XMT小咩兔|Future BarbarXMT|
1,Single,Single,85,996.李化禹.0,996,996,李化禹,extraSongs,1,0,EZ|HD|IN|AT,4.0|9.4|14.7|0.0,笔记RE,RTH|Likey|Barbarianerman & NerSAN in the ICU|
1,Single,Single,86,AnotherRound.JustinDai.0,Another Round,Another Round,Justin Dai,extraSongs,1,0,EZ|HD|IN|AT,2.5|9.6|13.3|0.0,艾是Abby,"阿爽|Another Stage|TimiTini →""X""← 阿爽|"
1,Single,Single,87,Dreamland.z1onkyrrin.0,Dreamland,Dreamland,z1on & kyrrin,extraSongs,1,0,EZ|HD|IN|AT,7.0|10.3|13.6|0.0,海产,Bear|Bear|XMT & 198|
1,Single,Single,88,ジングルベルJingleBell.A39沙包P.0,ジングルベル(Jingle Bell),ジングルベル(Jingle Bell),A-39/沙包P,extraSongs,1,0,EZ|HD|IN|AT,4.5|8.5|14.5|0.0,爱39的Konya,merry CNrisTimas|merry XM AS|NerSANTA vs. BarbarianerSLEDGE|
1,Single,Single,89,Concvssion.Halv.0,Concvssion,Concvssion,Halv,extraSongs,1,0,EZ|HD|IN|AT,6.0|11.3|15.6|0.0,汉堡,J.R|晨|Phigros Charting Team|
1,Single,Single,90,parsey.siqlo.0,ρars/ey,ρars/ey,siqlo,extraSongs,1,0,EZ|HD|IN|AT,4.0|11.7|14.6|0.0,出前 x nekomiya,Rikko|Rikko & TangScend|TangScend|
1,Single,Single,91,Kerberos.Zris.0,Kerberos,Kerberos,Zris,extraSongs,1,0,EZ|HD|IN|AT,5.5|12.4|15.8|0.0,Eridani,Alloces|NerSAN|Snorkel vs. NerSAN|
1,Single,Single,92,Arkhei.SeraAmagi.0,-Arkhei-,-Arkhei-,Sera Amagi,extraSongs,1,0,EZ|HD|IN|AT,7.5|8.8|12.6|0.0,Hachimitsu☆Boy,-JKy-|-JKy-|-JKy-|
1,Single,Single,93,Nhelv.Silentroom.0,Nhelv,Nhelv,Silentroom,extraSongs,1,0,EZ|HD|IN|AT,1.5|12.0|15.6|0.0,駿,野从|StupiGGy|森德雷斯 vs. 百九十八|
1,Single,Single,94,energytrixxx.KAH.0,energy trixxx,energy trixxx,KAH,extraSongs,1,0,EZ|HD|IN|AT,5.0|10.4|15.4|0.0,手鞠鈴 & 自動車 原付,NerSAN|NerSANN|NerSANNN|
1,Single,Single,95,游园地.椒盐菠萝.0,游园地,游园地,椒盐菠萝,extraSongs,1,0,EZ|HD|IN|AT,2.5|7.5|13.0|0.0,CEM,野从菠萝|野从菠萝|椒盐倪尔|
1,Single,Single,96,Apocalyptic.ZClaxxSumaiLight.0,Apocalyptic,Apocalyptic,Z ClaxX & SumaiLight,extraSongs,1,0,EZ|HD|IN|AT,3.0|10.4|14.1|0.0,佑木いずみ & Ctymax,阿爽|NerSAN|NerSAN vs. 阿爽|
1,Single,Single,97,UnorthodoxThoughts.Joulez.0,Unorthodox Thoughts,Unorthodox Thoughts,Joulez,extraSongs,1,0,EZ|HD|IN|AT,5.5|12.0|13.9|0.0,ASXX,Barbarianerman|HaraKuma|Barbarianerman vs. HaraKuma|
1,Single,Single,98,WithYou.Cashew.0,With You,With You,Cashew,extraSongs,1,0,EZ|HD|IN|AT,3.5|9.1|13.5|0.0,ADZUKI,with U|with U|with U|
1,Single,Single,99,BetterGraphicAnimation.ルゼ.0,Better Graphic Animation,Better Graphic Animation,ルゼ,extraSongs,1,0,EZ|HD|IN|AT,6.0|11.1|15.3|0.0,A-Zero Project,NerSAN|NerSAN|縱連打の信者☆無極|
1,Single,Single,100,Eltaw.Fl00t.0,Eltaw,Eltaw,Fl00t,extraSongs,1,0,EZ|HD|IN|AT,7.0|10.6|14.8|0.0,xperz,JKy|JKy|BarbariaNERman vs. JKy|
1,Single,Single,101,大和撫子WildDances.adapatorvsDRIVE.0,大和撫子 -Wild Dances-,大和撫子 -Wild Dances-,adaptor vs DRIVE.,extraSongs,1,0,EZ|HD|IN|AT,5.5|11.8|15.1|0.0,りゅうら,Eaimo fixed by NerSAN|Eaimo fixed by NerSAN|Eaimo vs. CtyNer dancing wildly|
1,Single,Single,102,Wavetapper.Frums.0,Wavetapper,Wavetapper,Frums,extraSongs,1,0,EZ|HD|IN|AT,6.0|9.4|13.9|0.0,百九十八,Sillyp|Sillyp|百九十八 vs. Barbarianerman|
1,Single,Single,103,modulus.PTB10.0,modulus,modulus,PTB10,extraSongs,1,0,EZ|HD|IN|AT,4.5|10.4|14.9|0.0,geralt,Cty moyules|Cty moyules|Pat Brick Man Mr.C|
1,Single,Single,104,CervelleConnexion.SCTL.0,Cervelle Connexion,Cervelle Connexion,SCTL,extraSongs,1,0,EZ|HD|IN|AT,5.0|11.3|14.5|0.0,SCTL,Eastern Ailuropoda Gang|Eastern Ailuropoda Gang|Eastern Ailuropoda Gang|
1,Single,Single,105,雪降りメリクリ.A39.0,雪降り、メリクリ,雪降り、メリクリ,A-39,extraSongs,1,0,EZ|HD|IN|AT,4.5|10.8|15.4|0.0,犀牛坨动画工坊,Merry xmAS|Merry ChristymAxS|N\erry Xmas|
1,Single,Single,106,Trane.MALVA.0,Trane,Träne,MALVA.,extraSongs,1,0,EZ|HD|IN|AT,1.5|7.0|14.2|0.0,しえろ,Barbarianerman|Barbarianerman|Barbarianerman|
1,Single,Single,107,Aventyr.GrandThawRigelTheatre.0,Aventyr,Äventyr,Grand Thaw / Rigël Theatre,extraSongs,1,0,EZ|HD|IN|AT,3.5|9.9|13.7|0.0,Grand Thaw / Rigël Theatre,Barbarianerman|Snorkel|Barbarianerman vs. Snorkel|
1,Single,Single,108,HardcoreKwaya.EnFr.0,Hardcore Kwaya,Hardcore Kwaya,EnFr,extraSongs,1,0,EZ|HD|IN|AT,4.5|8.4|14.6|0.0,EnFr,One skunk (Ctymax) in Africa|Hardcore Barbaya|Two skunks (Ctymax and 晨) in Africa shouting WAHHHHHH!|
1,Single,Single,109,SIGMA.Kryexe.0,SIGMA,SIGMA,Kry.exe,extraSongs,1,0,EZ|HD|IN|AT,5.0|10.5|15.8|0.0,塔塔,Barbarianerman.exe|Bσrbσriσnermσn.exe|Bσrbσriσn∑rmσn.∑x∑|
